,latitude,longitude,surface,azim,kWp,tilt
4036,,,16,70.0,2.22,40.0
4037,,,21,45.0,2.94,25.0
4038,,,22,0.0,3.075,20.0
4039,,,23,40.0,3.0,20.0
4040,,,24,-45.0,2.97,45.0
4041,,,24,0.0,3.0,20.0
4042,,,22,45.0,2.96,15.0
4043,,,22,-15.0,2.64,45.0
4044,,,60,45.0,9.0,35.0
4045,,,23,0.0,2.94,15.0
4046,,,23,0.0,3.0,20.0
4047,,,20,40.0,2.88,40.0
4048,,,18,-45.0,2.996,15.0
4049,,,23,60.0,2.88,20.0
4050,,,41,-170.0,6.12,30.0
4051,,,22,0.0,3.5,30.0
4052,,,16,-45.0,2.22,45.0
4053,,,20,0.0,2.96,30.0
4054,,,18,0.0,2.52,45.0
4055,,,21,45.0,2.925,45.0
4056,,,22,-45.0,3.0,15.0
4057,,,16,45.0,2.96,15.0
4058,,,21,-20.0,2.94,45.0
4059,,,23,60.0,2.97,15.0
4060,,,23,-10.0,3.0,30.0
4061,,,703,0.0,76.96,15.0
4062,,,22,90.0,2.96,35.0
4063,,,22,-30.0,2.992,35.0
4064,,,23,-25.0,2.996,20.0
4065,,,21,-5.0,2.96,20.0
4066,,,22,-45.0,2.89,45.0
4067,,,21,20.0,2.73,15.0
4068,,,21,-5.0,2.8,25.0
4069,,,16,-45.0,3.0,15.0
4070,,,18,10.0,2.996,15.0
4071,,,23,0.0,2.97,35.0
4072,,,24,-60.0,2.96,45.0
4073,,,16,0.0,3.0,45.0
4074,,,19,0.0,2.6,30.0
4075,,,20,0.0,2.96,40.0
4076,,,22,0.0,3.0,0.0
4077,,,28,-10.0,2.97,40.0
4078,,,20,-45.0,2.35,60.0
4079,,,24,-85.0,3.01,35.0
4080,,,22,0.0,2.88,30.0
4081,,,21,0.0,2.94,20.0
4082,,,13,-45.0,1.82,30.0
4083,,,19,80.0,2.94,45.0
4084,,,22,35.0,2.94,25.0
4085,,,25,45.0,3.01,15.0
4086,,,21,-35.0,2.94,40.0
4087,,,20,45.0,2.775,35.0
4088,,,22,-5.0,3.0,40.0
4089,,,21,-20.0,2.8,20.0
4090,,,16,45.0,2.5,45.0
4091,,,33,40.0,6.0,20.0
4092,,,18,0.0,2.996,50.0
4093,,,20,5.0,2.96,45.0
4094,,,16,0.0,3.0,20.0
4095,,,20,-20.0,2.82,20.0
4096,,,22,10.0,3.0,25.0
4097,,,18,30.0,1.85,35.0
4098,,,22,-45.0,2.94,45.0
4099,,,18,5.0,2.99,30.0
4100,,,22,-5.0,2.925,50.0
4101,,,23,-15.0,2.94,20.0
4102,,,25,0.0,3.04,30.0
4103,,,21,30.0,2.96,30.0
4104,,,17,-40.0,2.94,20.0
4105,,,21,0.0,2.996,20.0
4106,,,28,45.0,2.96,35.0
4107,,,20,-65.0,2.31,45.0
4108,,,19,0.0,2.53,25.0
4109,,,34,50.0,4.25,45.0
4110,,,23,-115.0,2.94,15.0
4111,,,18,20.0,2.94,45.0
4112,,,23,-20.0,2.996,45.0
4113,,,20,-60.0,3.0,40.0
4114,,,26,-30.0,3.0,30.0
4115,,,27,0.0,2.88,20.0
4116,,,20,80.0,2.96,20.0
4117,,,16,0.0,3.0,25.0
4118,,,21,20.0,2.72,25.0
4119,,,23,-60.0,2.94,30.0
4120,,,27,0.0,4.0,30.0
4121,,,25,30.0,3.36,25.0
4122,,,22,-60.0,3.0,35.0
4123,,,20,100.0,2.96,30.0
4124,,,16,-45.0,3.0,25.0
4125,,,20,0.0,2.73,25.0
4126,,,26,-10.0,3.0,30.0
4127,,,18,-30.0,2.59,45.0
4128,,,22,5.0,2.94,35.0
4129,,,24,0.0,2.996,15.0
4130,,,22,90.0,2.88,45.0
4131,,,16,20.0,2.22,25.0
4132,,,21,10.0,2.96,20.0
4133,,,17,-50.0,2.88,45.0
4134,,,23,-90.0,2.88,15.0
4135,,,20,-10.0,2.52,45.0
4136,,,24,160.0,3.0,30.0
4137,,,54,45.0,9.0,25.0
4138,,,22,0.0,2.996,35.0
4139,,,20,0.0,2.96,45.0
4140,,,16,0.0,3.0,35.0
4141,,,25,-25.0,2.88,30.0
4142,,,16,-5.0,2.1,30.0
4143,,,40,-85.0,4.5,15.0
4144,,,28,0.0,2.96,30.0
4145,,,18,-30.0,2.996,30.0
4146,,,23,45.0,2.96,30.0
4147,,,17,-15.0,2.73,30.0
4148,,,17,-40.0,3.01,40.0
4149,,,20,-35.0,2.96,25.0
4150,,,21,40.0,2.96,30.0
4151,,,27,-70.0,3.84,15.0
4152,,,23,-20.0,3.0,25.0
4153,,,18,-85.0,2.94,45.0
4154,,,22,-5.0,2.925,45.0
4155,,,24,30.0,2.7,20.0
4156,,,17,45.0,3.0,20.0
4157,,,643,0.0,99.84,30.0
4158,,,66,-25.0,9.12,40.0
4159,,,21,-20.0,2.96,30.0
4160,,,20,-170.0,2.94,20.0
4161,,,25,0.0,2.97,45.0
4162,,,8,-5.0,1.325,35.0
4163,,,600,80.0,64.68,15.0
4164,,,24,10.0,3.64,25.0
4165,,,23,-5.0,2.996,40.0
4166,,,15,80.0,2.52,15.0
4167,,,60,5.0,8.604,25.0
4168,,,20,-5.0,2.3,20.0
4169,,,23,80.0,2.88,25.0
4170,,,670,0.0,99.84,35.0
4171,,,20,-5.0,1.92,40.0
4172,,,17,-5.0,3.0,20.0
4173,,,22,0.0,3.0,30.0
4174,,,20,-50.0,3.0,20.0
4175,,,22,45.0,3.0,20.0
4176,,,28,45.0,3.0,20.0
4177,,,18,-75.0,2.996,30.0
4178,,,20,50.0,3.0,45.0
4179,,,20,-5.0,2.94,45.0
4180,,,18,40.0,2.996,20.0
4181,,,24,-65.0,2.96,15.0
4182,,,24,55.0,2.996,25.0
4183,,,22,30.0,2.85,35.0
4184,,,20,20.0,2.22,20.0
4185,,,18,0.0,2.996,20.0
4186,,,21,-20.0,3.04,35.0
4187,,,20,-45.0,3.06,40.0
4188,,,21,80.0,2.88,15.0
4189,,,20,-5.0,2.8,25.0
4190,,,23,-25.0,3.04,35.0
4191,,,14,-40.0,2.0,40.0
4192,,,240,0.0,36.48,15.0
4193,,,23,-50.0,2.88,15.0
4194,,,21,-75.0,2.94,25.0
4195,,,21,-40.0,2.94,25.0
4196,,,11,60.0,1.56,15.0
4197,,,15,35.0,1.8,15.0
4198,,,20,-5.0,2.94,35.0
4199,,,20,-45.0,2.96,20.0
4200,,,24,-5.0,2.97,40.0
4201,,,27,60.0,3.3,20.0
4202,,,21,0.0,2.96,20.0
4203,,,21,20.0,2.7,45.0
4204,,,22,-90.0,2.568,20.0
4205,,,22,0.0,2.992,55.0
4206,,,6,-15.0,1.0,45.0
4207,,,20,20.0,2.96,20.0
4208,,,23,0.0,2.88,45.0
4209,,,21,45.0,3.5,30.0
4210,,,17,-10.0,2.88,30.0
4211,,,7,25.0,1.2,25.0
4212,,,7,-5.0,1.2,25.0
4213,,,24,-25.0,2.56,15.0
4214,,,23,0.0,2.94,15.0
4215,,,22,0.0,2.72,15.0
4216,,,22,0.0,2.94,20.0
4217,,,23,-25.0,2.996,40.0
4218,,,18,-45.0,2.8,15.0
4219,,,39,-45.0,6.0,25.0
4220,,,20,-50.0,2.76,35.0
4221,,,23,40.0,2.94,30.0
4222,,,22,0.0,3.0,45.0
4223,,,22,60.0,2.96,30.0
4224,,,17,45.0,2.1,20.0
4225,,,20,0.0,2.88,45.0
4226,,,22,-35.0,3.0,20.0
4227,,,22,20.0,2.8,20.0
4228,,,23,0.0,2.64,20.0
4229,,,20,0.0,3.04,35.0
4230,,,25,-50.0,3.0,30.0
4231,,,18,40.0,2.94,20.0
4232,,,25,-5.0,2.94,25.0
4233,,,22,0.0,3.0,35.0
4234,,,20,-20.0,2.448,15.0
4235,,,21,5.0,2.96,45.0
4236,,,15,20.0,2.943,15.0
4237,,,200,20.0,32.2,25.0
4238,,,20,0.0,2.96,45.0
4239,,,13,-10.0,1.9,30.0
4240,,,22,40.0,2.94,45.0
4241,,,20,80.0,3.01,30.0
4242,,,21,-10.0,2.82,30.0
4243,,,21,-70.0,2.8,25.0
4244,,,21,-45.0,3.01,25.0
4245,,,18,25.0,2.24,15.0
4246,,,19,40.0,3.0,35.0
4247,,,23,-45.0,2.96,30.0
4248,,,24,-50.0,2.996,40.0
4249,,,16,30.0,2.94,35.0
4250,,,20,-20.0,3.0,30.0
4251,,,20,-10.0,2.94,30.0
4252,,,22,-45.0,2.618,40.0
4253,,,18,25.0,2.996,20.0
4254,,,22,20.0,3.0,45.0
4255,,,17,-5.0,3.01,45.0
4256,,,15,0.0,2.12,20.0
4257,,,28,45.0,4.5,15.0
4258,,,22,0.0,3.0,25.0
4259,,,20,15.0,2.9,30.0
4260,,,21,5.0,2.8,35.0
4261,,,22,-45.0,2.992,15.0
4262,,,27,-70.0,2.7,20.0
4263,,,24,0.0,3.0,30.0
4264,,,21,0.0,2.88,35.0
4265,,,160,0.0,22.385,25.0
4266,,,20,0.0,2.88,30.0
4267,,,21,50.0,2.8,50.0
4268,,,23,-35.0,2.996,20.0
4269,,,23,30.0,2.94,20.0
4270,,,16,-15.0,3.0,20.0
4271,,,21,0.0,2.8,30.0
4272,,,22,5.0,3.0,30.0
4273,,,20,0.0,3.0,35.0
4274,,,21,-45.0,2.96,45.0
4275,,,23,-50.0,3.0,20.0
4276,,,17,15.0,3.0,35.0
4277,,,39,45.0,7.68,45.0
4278,,,20,90.0,2.14,15.0
4279,,,17,0.0,2.94,15.0
4280,,,60,-90.0,5.92,30.0
4281,,,27,-75.0,2.97,15.0
4282,,,20,-45.0,2.96,40.0
4283,,,21,0.0,2.96,20.0
4284,,,16,-70.0,3.0,15.0
4285,,,28,30.0,3.0,20.0
4286,,,20,30.0,3.0,20.0
4287,,,20,0.0,1.75,15.0
4288,,,20,-45.0,2.775,20.0
4289,,,22,15.0,2.88,30.0
4290,,,16,-75.0,2.5,15.0
4291,,,21,5.0,3.04,45.0
4292,,,257,-10.0,36.0,40.0
4293,,,23,30.0,2.96,20.0
4294,,,21,0.0,2.72,15.0
4295,,,24,-45.0,2.96,20.0
4296,,,21,-45.0,2.88,20.0
4297,,,16,0.0,3.0,15.0
4298,,,33,20.0,2.97,20.0
4299,,,63,20.0,9.0,20.0
4300,,,20,0.0,3.0,15.0
4301,,,21,20.0,2.96,20.0
4302,,,24,0.0,2.94,15.0
4303,,,21,90.0,2.96,20.0
4304,,,22,-120.0,2.94,20.0
4305,,,17,135.0,3.0,20.0
4306,,,20,-20.0,2.8,15.0
4307,,,21,-45.0,2.96,25.0
4308,,,22,-35.0,2.992,35.0
4309,,,34,-45.0,6.0,20.0
4310,,,23,-60.0,2.94,20.0
4311,,,13,-80.0,2.0,30.0
4312,,,18,15.0,2.88,15.0
4313,,,18,0.0,2.996,35.0
4314,,,27,-40.0,3.0,20.0
4315,,,28,-90.0,2.996,25.0
4316,,,20,-10.0,3.0,25.0
4317,,,15,-90.0,2.22,25.0
4318,,,20,0.0,2.88,20.0
4319,,,25,30.0,3.0,15.0
4320,,,297,0.0,35.64,35.0
4321,,,20,-45.0,2.88,45.0
4322,,,21,-40.0,2.996,20.0
4323,,,21,-60.0,2.992,20.0
4324,,,23,30.0,2.97,30.0
4325,,,60,-5.0,7.6,20.0
4326,,,17,0.0,2.04,35.0
4327,,,65,-45.0,9.0,15.0
4328,,,21,-10.0,2.94,30.0
4329,,,21,45.0,2.96,30.0
4330,,,20,90.0,2.94,20.0
4331,,,15,0.0,2.82,15.0
4332,,,20,0.0,2.16,20.0
4333,,,18,-90.0,1.644,15.0
4334,,,19,55.0,3.0,20.0
4335,,,23,30.0,2.7,45.0
4336,,,21,35.0,2.64,50.0
4337,,,20,-5.0,3.0,45.0
4338,,,32,-45.0,5.8,15.0
4339,,,24,35.0,3.15,25.0
4340,,,21,5.0,2.94,45.0
4341,,,18,0.0,2.996,20.0
4342,,,16,45.0,2.1,45.0
4343,,,21,0.0,2.08,15.0
4344,,,24,5.0,2.94,30.0
4345,,,16,0.0,2.8,30.0
4346,,,18,-20.0,3.0,30.0
4347,,,23,-5.0,3.0,45.0
4348,,,16,35.0,3.0,30.0
4349,,,17,-5.0,3.0,20.0
4350,,,21,30.0,2.8,20.0
4351,,,34,20.0,6.0,20.0
4352,,,14,-35.0,2.3,30.0
4353,,,21,0.0,2.96,40.0
4354,,,20,0.0,3.0,20.0
4355,,,18,35.0,2.94,45.0
4356,,,16,10.0,2.568,30.0
4357,,,24,-45.0,2.88,35.0
4358,,,41,-90.0,5.92,35.0
4359,,,23,-90.0,3.0,30.0
4360,,,24,0.0,2.4,45.0
4361,,,40,20.0,5.984,20.0
4362,,,16,-65.0,3.0,25.0
4363,,,20,-40.0,2.76,45.0
4364,,,20,45.0,3.0,30.0
4365,,,21,60.0,2.88,40.0
4366,,,20,30.0,2.8,20.0
4367,,,72,45.0,8.1,15.0
4368,,,20,-85.0,2.96,35.0
4369,,,20,-20.0,2.925,40.0
4370,,,22,85.0,3.0,25.0
4371,,,21,0.0,2.8,45.0
4372,,,25,45.0,3.75,30.0
4373,,,17,-5.0,2.94,35.0
4374,,,18,-25.0,2.94,35.0
4375,,,23,-65.0,2.97,25.0
4376,,,19,45.0,3.0,40.0
4377,,,34,-10.0,2.94,40.0
4378,,,21,-45.0,2.99,20.0
4379,,,23,15.0,2.96,40.0
4380,,,16,-60.0,3.0,20.0
4381,,,21,0.0,2.96,45.0
4382,,,22,-30.0,2.996,40.0
4383,,,20,0.0,2.88,20.0
4384,,,20,-80.0,3.0,45.0
4385,,,29,0.0,4.05,20.0
4386,,,21,0.0,2.88,45.0
4387,,,20,10.0,2.96,20.0
4388,,,27,45.0,2.7,30.0
4389,,,15,25.0,2.943,30.0
4390,,,20,-40.0,2.8,35.0
4391,,,24,-35.0,2.94,20.0
4392,,,21,0.0,2.8,30.0
4393,,,18,-25.0,2.996,20.0
4394,,,20,-5.0,2.96,40.0
4395,,,20,-30.0,2.76,25.0
4396,,,24,85.0,3.0,25.0
4397,,,23,-45.0,3.0,20.0
4398,,,18,-40.0,2.996,15.0
4399,,,22,15.0,3.0,25.0
4400,,,23,-30.0,2.99,20.0
4401,,,22,0.0,2.72,40.0
4402,,,23,40.0,2.85,65.0
4403,,,208,-15.0,36.0,30.0
4404,,,23,0.0,2.925,45.0
4405,,,20,-90.0,3.0,20.0
4406,,,24,10.0,3.0,20.0
4407,,,24,15.0,2.94,45.0
4408,,,19,20.0,2.52,20.0
4409,,,22,65.0,2.85,40.0
4410,,,21,0.0,3.0,45.0
4411,,,16,65.0,2.86,20.0
4412,,,23,15.0,2.97,35.0
4413,,,20,60.0,2.88,45.0
4414,,,16,0.0,2.96,30.0
4415,,,15,-10.0,2.205,25.0
4416,,,26,-55.0,3.392,20.0
4417,,,21,90.0,2.992,45.0
4418,,,14,0.0,2.1,30.0
4419,,,27,0.0,4.515,45.0
4420,,,19,0.0,2.928,45.0
4421,,,18,0.0,2.94,15.0
4422,,,22,40.0,2.88,30.0
4423,,,22,0.0,2.996,35.0
4424,,,22,85.0,3.0,40.0
4425,,,22,0.0,3.0,20.0
4426,,,24,0.0,3.0,40.0
4427,,,15,0.0,2.16,40.0
4428,,,22,45.0,3.0,45.0
4429,,,24,20.0,3.0,35.0
4430,,,24,-75.0,2.96,35.0
4431,,,18,-45.0,2.94,40.0
4432,,,24,60.0,2.97,20.0
4433,,,8,0.0,0.825,35.0
4434,,,24,-45.0,2.88,45.0
4435,,,16,-90.0,3.0,20.0
4436,,,24,-90.0,3.0,15.0
4437,,,21,0.0,2.85,40.0
4438,,,22,0.0,2.94,40.0
4439,,,23,-5.0,2.96,40.0
4440,,,21,-45.0,2.99,20.0
4441,,,24,0.0,2.97,45.0
4442,,,23,0.0,2.88,30.0
4443,,,13,-45.0,1.85,40.0
4444,,,20,20.0,2.38,30.0
4445,,,20,0.0,2.28,30.0
4446,,,17,20.0,2.94,25.0
4447,,,22,45.0,3.0,35.0
4448,,,47,0.0,8.97,20.0
4449,,,15,0.0,2.94,45.0
4450,,,12,45.0,1.84,15.0
4451,,,500,5.0,54.0,15.0
4452,,,18,20.0,3.01,20.0
4453,,,30,-45.0,2.8,20.0
4454,,,24,45.0,3.0,20.0
4455,,,23,45.0,3.36,45.0
4456,,,18,30.0,2.996,20.0
4457,,,20,20.0,2.925,45.0
4458,,,25,20.0,2.97,20.0
4459,,,24,85.0,2.94,20.0
4460,,,10,20.0,1.8,40.0
4461,,,22,-45.0,3.0,30.0
4462,,,520,-90.0,67.32,10.0
4463,,,15,30.0,2.1,25.0
4464,,,20,15.0,2.96,40.0
4465,,,50,-90.0,7.2,35.0
4466,,,17,20.0,3.0,30.0
4467,,,18,-150.0,2.996,45.0
4468,,,20,10.0,2.96,45.0
4469,,,23,-65.0,2.59,20.0
4470,,,20,45.0,2.996,10.0
4471,,,21,30.0,2.96,30.0
4472,,,25,40.0,3.12,20.0
4473,,,38,-10.0,6.38,35.0
4474,,,18,-45.0,2.94,20.0
4475,,,27,25.0,3.1,15.0
4476,,,25,-5.0,2.52,15.0
4477,,,20,-30.0,2.7,30.0
4478,,,18,25.0,2.996,30.0
4479,,,23,0.0,2.82,15.0
4480,,,24,30.0,2.85,20.0
4481,,,18,-80.0,2.4,30.0
4482,,,23,-20.0,2.97,35.0
4483,,,23,0.0,2.0,15.0
4484,,,21,-15.0,2.94,25.0
4485,,,66,-75.0,8.91,15.0
4486,,,17,0.0,2.88,35.0
4487,,,17,80.0,2.88,20.0
4488,,,24,-15.0,3.0,50.0
4489,,,19,-40.0,2.94,20.0
4490,,,21,0.0,2.59,20.0
4491,,,24,60.0,3.01,20.0
4492,,,18,30.0,2.52,20.0
4493,,,32,0.0,5.375,35.0
4494,,,24,-120.0,3.0,20.0
4495,,,55,0.0,8.96,15.0
4496,,,26,-75.0,2.97,30.0
4497,,,20,0.0,2.88,20.0
4498,,,18,10.0,2.94,45.0
4499,,,21,-60.0,2.88,25.0
4500,,,18,15.0,2.94,20.0
4501,,,29,-30.0,2.96,20.0
4502,,,20,-45.0,2.96,30.0
4503,,,21,45.0,2.96,20.0
4504,,,23,-15.0,3.0,25.0
4505,,,22,0.0,2.992,35.0
4506,,,58,-45.0,9.0,15.0
4507,,,24,0.0,2.88,30.0
4508,,,22,25.0,3.0,20.0
4509,,,16,-30.0,2.22,45.0
4510,,,22,0.0,2.94,35.0
4511,,,23,-130.0,3.68,20.0
4512,,,15,0.0,2.28,25.0
4513,,,15,45.0,2.205,40.0
4514,,,23,-45.0,2.94,35.0
4515,,,20,10.0,3.0,35.0
4516,,,22,-20.0,2.64,20.0
4517,,,24,-90.0,2.76,45.0
4518,,,21,0.0,2.96,15.0
4519,,,19,-20.0,2.996,35.0
4520,,,20,-60.0,3.0,30.0
4521,,,36,0.0,6.0,45.0
4522,,,20,45.0,2.96,45.0
4523,,,21,45.0,2.96,45.0
4524,,,16,0.0,2.16,25.0
4525,,,20,15.0,2.88,40.0
4526,,,21,20.0,3.0,35.0
4527,,,22,-25.0,2.96,45.0
4528,,,14,20.0,2.35,25.0
4529,,,16,0.0,1.95,25.0
4530,,,15,-70.0,2.22,30.0
4531,,,17,0.0,1.935,30.0
4532,,,14,-10.0,1.76,5.0
4533,,,23,-45.0,2.96,15.0
4534,,,23,25.0,2.94,15.0
4535,,,21,-10.0,2.1,15.0
4536,,,220,0.0,22.0,35.0
4537,,,22,5.0,2.88,20.0
4538,,,49,30.0,9.0,20.0
4539,,,23,-5.0,2.4,30.0
4540,,,22,-10.0,3.0,45.0
4541,,,15,0.0,1.86,35.0
4542,,,20,90.0,2.88,45.0
4543,,,25,45.0,2.88,30.0
4544,,,21,-90.0,2.99,45.0
4545,,,26,-80.0,2.996,15.0
4546,,,21,0.0,2.94,25.0
4547,,,12,-45.0,2.17,45.0
4548,,,20,30.0,2.625,20.0
4549,,,21,-10.0,2.73,25.0
4550,,,21,0.0,2.8,35.0
4551,,,19,25.0,2.618,20.0
4552,,,22,-45.0,3.0,20.0
4553,,,23,0.0,2.94,20.0
4554,,,36,-10.0,5.7,25.0
4555,,,21,0.0,2.88,20.0
4556,,,28,0.0,4.4,15.0
4557,,,20,-30.0,2.8,15.0
4558,,,21,45.0,3.01,30.0
4559,,,21,45.0,2.88,20.0
4560,,,17,70.0,2.94,20.0
4561,,,20,-10.0,2.76,20.0
4562,,,17,0.0,2.22,35.0
4563,,,10,0.0,1.8,20.0
4564,,,18,-60.0,3.0,40.0
4565,,,22,0.0,3.0,20.0
4566,,,38,0.0,7.194,20.0
4567,,,110,0.0,15.18,35.0
4568,,,19,90.0,2.8,40.0
4569,,,20,-20.0,3.0,30.0
4570,,,21,-75.0,2.8,20.0
4571,,,26,-170.0,2.96,20.0
4572,,,25,-25.0,3.0,30.0
4573,,,17,0.0,2.28,45.0
4574,,,15,45.0,2.82,30.0
4575,,,12,0.0,2.0,20.0
4576,,,38,20.0,5.5,20.0
4577,,,15,20.0,1.98,25.0
4578,,,18,60.0,2.45,20.0
4579,,,19,10.0,2.996,20.0
4580,,,28,-20.0,2.996,30.0
4581,,,15,20.0,2.88,20.0
4582,,,22,15.0,2.56,5.0
4583,,,24,40.0,2.925,20.0
4584,,,21,-25.0,2.96,40.0
4585,,,15,-45.0,2.16,20.0
4586,,,20,90.0,2.5,40.0
4587,,,19,45.0,3.0,30.0
4588,,,20,45.0,3.3,35.0
4589,,,20,90.0,3.85,40.0
4590,,,19,20.0,2.52,15.0
4591,,,234,10.0,30.225,35.0
4592,,,18,30.0,2.996,20.0
4593,,,23,-20.0,2.88,30.0
4594,,,21,45.0,3.0,45.0
4595,,,23,15.0,2.96,20.0
4596,,,56,-90.0,8.67,15.0
4597,,,20,25.0,2.96,45.0
4598,,,23,40.0,2.94,15.0
4599,,,21,-45.0,2.96,20.0
4600,,,20,20.0,3.0,45.0
4601,,,21,85.0,2.96,30.0
4602,,,21,-70.0,2.88,25.0
4603,,,23,-130.0,3.06,30.0
4604,,,17,45.0,2.85,15.0
4605,,,21,-10.0,2.94,25.0
4606,,,75,45.0,8.36,15.0
4607,,,21,-40.0,2.94,45.0
4608,,,40,180.0,5.52,30.0
4609,,,21,25.0,2.8,25.0
4610,,,25,-20.0,4.675,20.0
4611,,,24,40.0,2.88,25.0
4612,,,36,30.0,6.0,20.0
4613,,,23,45.0,2.96,20.0
4614,,,25,-45.0,2.96,40.0
4615,,,29,55.0,3.0,15.0
4616,,,19,50.0,2.94,35.0
4617,,,15,45.0,2.55,20.0
4618,,,21,-45.0,2.94,45.0
4619,,,20,15.0,2.76,20.0
4620,,,18,30.0,2.94,15.0
4621,,,23,-90.0,2.88,45.0
4622,,,18,0.0,2.94,20.0
4623,,,20,30.0,2.96,35.0
4624,,,120,-90.0,15.54,20.0
4625,,,18,10.0,2.94,35.0
4626,,,54,-20.0,9.0,35.0
4627,,,18,45.0,2.59,35.0
4628,,,59,45.0,6.75,40.0
4629,,,18,90.0,3.0,45.0
4630,,,20,0.0,2.96,20.0
4631,,,21,-85.0,2.88,35.0
4632,,,23,0.0,2.96,30.0
4633,,,22,-30.0,2.94,15.0
4634,,,18,-20.0,2.996,45.0
4635,,,25,-60.0,2.82,45.0
4636,,,21,-10.0,2.64,20.0
4637,,,16,0.0,3.0,30.0
4638,,,12,-5.0,2.0,15.0
4639,,,24,90.0,3.0,45.0
4640,,,18,20.0,2.94,20.0
4641,,,18,60.0,2.88,35.0
4642,,,24,90.0,2.8,20.0
4643,,,17,0.0,2.3,30.0
4644,,,21,-75.0,2.88,20.0
4645,,,21,-5.0,2.8,30.0
4646,,,24,-10.0,2.996,35.0
4647,,,24,-15.0,2.94,20.0
4648,,,21,20.0,2.96,20.0
4649,,,21,0.0,2.88,35.0
4650,,,17,-45.0,2.88,15.0
4651,,,18,10.0,2.94,20.0
4652,,,11,0.0,1.62,30.0
4653,,,25,-10.0,2.97,30.0
4654,,,18,-30.0,2.31,40.0
4655,,,22,-20.0,2.97,35.0
4656,,,10,-5.0,1.962,30.0
4657,,,25,40.0,2.88,35.0
4658,,,21,-70.0,2.96,40.0
4659,,,22,0.0,2.96,20.0
4660,,,20,0.0,2.0,30.0
4661,,,19,30.0,2.45,25.0
4662,,,19,-30.0,2.94,30.0
4663,,,16,40.0,2.04,35.0
4664,,,23,30.0,2.97,20.0
4665,,,10,45.0,1.5,20.0
4666,,,21,-65.0,2.96,20.0
4667,,,17,60.0,2.59,15.0
4668,,,21,0.0,2.96,40.0
4669,,,23,90.0,2.3,20.0
4670,,,17,5.0,3.0,45.0
4671,,,18,15.0,2.99,20.0
4672,,,24,-45.0,3.0,20.0
4673,,,18,-20.0,2.996,15.0
4674,,,21,0.0,2.96,20.0
4675,,,16,35.0,2.16,15.0
4676,,,58,0.0,8.82,20.0
4677,,,20,0.0,3.0,45.0
4678,,,20,0.0,2.775,30.0
4679,,,20,20.0,2.992,30.0
4680,,,17,-5.0,2.88,20.0
4681,,,21,-90.0,2.88,45.0
4682,,,18,5.0,2.996,45.0
4683,,,22,0.0,2.96,30.0
4684,,,4,0.0,0.57,35.0
4685,,,24,0.0,3.5,15.0
4686,,,17,-30.0,2.99,20.0
4687,,,19,-60.0,2.775,15.0
4688,,,23,-10.0,2.85,20.0
4689,,,25,40.0,3.0,40.0
4690,,,16,0.0,2.64,30.0
4691,,,20,20.0,3.0,30.0
4692,,,22,90.0,3.0,15.0
4693,,,15,-45.0,2.9,35.0
4694,,,17,40.0,2.88,45.0
4695,,,18,-45.0,2.94,15.0
4696,,,22,30.0,2.775,30.0
4697,,,15,55.0,2.24,30.0
4698,,,25,45.0,3.0,25.0
4699,,,20,45.0,1.8,45.0
4700,,,23,0.0,3.15,25.0
4701,,,21,-155.0,3.0,25.0
4702,,,23,-20.0,2.94,20.0
4703,,,16,-10.0,2.04,20.0
4704,,,60,-45.0,9.0,15.0
4705,,,21,-90.0,2.88,30.0
4706,,,18,0.0,2.996,30.0
4707,,,24,50.0,2.94,20.0
4708,,,20,0.0,2.96,20.0
4709,,,21,-30.0,3.0,35.0
4710,,,22,25.0,2.88,25.0
4711,,,23,-90.0,3.0,15.0
4712,,,270,-30.0,34.56,15.0
4713,,,22,30.0,2.94,45.0
4714,,,25,0.0,2.96,20.0
4715,,,21,0.0,2.8,30.0
4716,,,20,0.0,2.34,45.0
4717,,,15,45.0,2.943,25.0
4718,,,24,0.0,2.99,0.0
4719,,,17,0.0,2.16,30.0
4720,,,17,0.0,2.59,25.0
4721,,,20,-20.0,2.88,30.0
4722,,,21,0.0,2.88,35.0
4723,,,25,-65.0,2.97,30.0
4724,,,21,65.0,2.72,25.0
4725,,,21,-45.0,2.94,45.0
4726,,,17,0.0,2.1,25.0
4727,,,24,-45.0,2.996,15.0
4728,,,22,30.0,2.94,35.0
4729,,,16,10.0,3.0,20.0
4730,,,22,-60.0,2.996,20.0
4731,,,18,35.0,3.0,20.0
4732,,,22,0.0,3.0,20.0
4733,,,60,-30.0,9.0,45.0
4734,,,21,-30.0,2.72,45.0
4735,,,22,0.0,2.94,25.0
4736,,,21,0.0,3.0,20.0
4737,,,16,-5.0,2.04,40.0
4738,,,40,45.0,5.775,15.0
4739,,,25,-5.0,2.775,20.0
4740,,,19,30.0,2.82,15.0
4741,,,22,0.0,3.08,25.0
4742,,,15,-70.0,2.88,20.0
4743,,,23,90.0,2.22,15.0
4744,,,20,80.0,2.996,20.0
4745,,,18,0.0,3.055,25.0
4746,,,19,160.0,2.52,15.0
4747,,,22,45.0,2.8,45.0
4748,,,23,-25.0,2.94,30.0
4749,,,24,-10.0,2.996,45.0
4750,,,60,0.0,9.0,15.0
4751,,,13,-45.0,2.16,20.0
4752,,,15,0.0,1.44,40.0
4753,,,16,0.0,2.1,45.0
4754,,,24,10.0,2.97,30.0
4755,,,20,-45.0,3.0,45.0
