,latitude,longitude,surface,azim,kWp,tilt
172,,,18,85.0,2.1,40.0
173,,,20,-40.0,2.94,15.0
174,,,24,-15.0,2.96,25.0
175,,,21,40.0,2.96,30.0
176,,,21,-45.0,2.96,30.0
177,,,24,-45.0,2.96,45.0
178,,,21,70.0,2.94,20.0
179,,,60,-45.0,6.75,80.0
180,,,16,40.0,3.0,20.0
181,,,20,-75.0,2.94,25.0
182,,,35,0.0,5.0,20.0
183,,,16,-45.0,2.176,20.0
184,,,23,0.0,3.0,45.0
185,,,23,20.0,2.996,45.0
186,,,21,0.0,3.0,30.0
187,,,23,0.0,2.96,40.0
188,,,23,0.0,2.96,40.0
189,,,21,0.0,2.8,25.0
190,,,23,15.0,3.0,25.0
191,,,22,20.0,3.0,45.0
192,,,13,15.0,1.85,25.0
193,,,18,0.0,2.94,15.0
194,,,20,0.0,2.5,15.0
195,,,23,-60.0,3.0,20.0
196,,,16,0.0,2.46,30.0
197,,,21,0.0,3.0,35.0
198,,,21,-5.0,2.88,45.0
199,,,24,0.0,2.94,20.0
200,,,21,90.0,2.944,15.0
201,,,23,-45.0,2.96,45.0
202,,,18,0.0,2.94,50.0
203,,,20,-45.0,3.0,20.0
204,,,18,45.0,1.665,40.0
205,,,124,-10.0,14.28,40.0
206,,,18,-30.0,2.46,20.0
207,,,28,45.0,5.1,30.0
208,,,21,100.0,2.94,45.0
209,,,21,40.0,2.96,20.0
210,,,3,0.0,0.56,35.0
211,,,24,20.0,2.996,25.0
212,,,16,0.0,2.1,15.0
213,,,30,-90.0,5.88,15.0
214,,,23,0.0,2.38,45.0
215,,,19,70.0,3.0,10.0
216,,,23,50.0,3.0,45.0
217,,,21,-90.0,2.96,15.0
218,,,23,95.0,3.0,20.0
219,,,20,75.0,2.996,25.0
220,,,23,0.0,2.96,35.0
221,,,20,45.0,2.82,15.0
222,,,15,20.0,1.8,20.0
223,,,21,30.0,2.8,35.0
224,,,19,0.0,2.96,45.0
225,,,55,-10.0,8.829,15.0
226,,,23,45.0,3.15,45.0
227,,,22,0.0,2.96,45.0
228,,,19,-45.0,2.7,20.0
229,,,23,0.0,2.96,35.0
230,,,800,-60.0,109.71,15.0
231,,,22,-10.0,2.79,20.0
232,,,16,0.0,2.1,40.0
233,,,18,5.0,2.996,20.0
234,,,11,-140.0,1.8,35.0
235,,,25,-45.0,3.0,45.0
236,,,6,5.0,1.04,35.0
237,,,20,-5.0,2.604,40.0
238,,,19,10.0,2.38,20.0
239,,,21,-20.0,2.8,30.0
240,,,21,0.0,2.88,35.0
241,,,22,-30.0,3.0,45.0
242,,,16,45.0,2.88,15.0
243,,,18,160.0,2.996,40.0
244,,,21,0.0,3.0,35.0
245,,,20,-55.0,3.0,45.0
246,,,19,45.0,2.996,45.0
247,,,17,50.0,2.96,15.0
248,,,20,45.0,2.8,45.0
249,,,23,-70.0,2.97,15.0
250,,,56,-5.0,5.44,30.0
251,,,16,5.0,2.22,50.0
252,,,18,5.0,2.996,30.0
253,,,20,0.0,2.94,40.0
254,,,19,5.0,2.996,20.0
255,,,27,30.0,2.96,25.0
256,,,21,90.0,2.94,20.0
257,,,23,10.0,2.94,20.0
258,,,26,-45.0,3.0,45.0
259,,,16,-15.0,2.22,40.0
260,,,24,80.0,2.97,45.0
261,,,16,-100.0,2.176,20.0
262,,,23,0.0,2.94,40.0
263,,,17,70.0,2.34,45.0
264,,,30,-45.0,2.805,35.0
265,,,23,20.0,2.88,20.0
266,,,24,-35.0,2.996,20.0
267,,,21,-55.0,2.96,30.0
268,,,18,-20.0,3.0,30.0
269,,,21,0.0,2.94,40.0
270,,,23,90.0,2.925,45.0
271,,,17,-30.0,2.94,20.0
272,,,6,50.0,0.81,15.0
273,,,24,0.0,2.88,15.0
274,,,21,0.0,2.72,15.0
275,,,23,-45.0,2.96,20.0
276,,,21,0.0,2.85,30.0
277,,,31,45.0,4.59,20.0
278,,,19,50.0,2.996,30.0
279,,,30,0.0,2.97,60.0
280,,,18,5.0,2.996,20.0
281,,,22,45.0,2.96,25.0
282,,,22,-45.0,2.96,40.0
283,,,21,-20.0,2.96,20.0
284,,,21,-10.0,3.0,20.0
285,,,20,-90.0,2.775,25.0
